character,cost
Whis,10
Gogeta (GT Super Saiyan 4),10
Beerus,10
Jiren (Full Power),9
Fused Zamasu (half corrupted),9
Vegeta (GT Super Saiyan 4),8
Super Gogeta (Z),8
Omega Shenron (GT),8
Kefla (Super Saiyan 2),8
Jiren,8
Hit,8
Goku Black (Super Saiyan Rose),8
Goku (Super Ultra Instinct Sign),8
Goku (GT Super Saiyan 4),8
Fused Zamasu,8
Anilaza,8
Vegito,7
Ultimate Gohan,7
Toppo,7
Syn Shenron (GT),7
Super Janemba,7
Super Buu (Gotenks absorbed),7
Super Buu (Gohan absorbed),7
Perfect Cell,7
Metal Cooler,7
Majin Vegeta,7
Kid Buu,7
Great Ape Baby (GT),7
Gogeta (Super),7
Cabba (Super Saiyan 2),7
Super Buu,6
Mecha Frieza,6
Majin Buu (Evil),6
Majin Buu,6
Kefla,6
Hirudegarn,6
Gotenks,6
Frost,6
Frieza (Z 4th Form),6
Frieza (Super),6
Dyspo,6
Dabura,6
Cooler,6
Android 17 (Super),6
Zamasu,5
Vegeta (Z – End),5
Vegeta (Z – Early),5
Vegeta (Super),5
Trunks (Melee),5
Roasie,5
Ribrianne,5
Piccolo (fused with Kami),5
Kale,5
Kakunsa,5
Janemba,5
Great Ape Vegeta,5
Goten,5
Goku Black,5
Goku (Z – Mid),5
Goku (Z – End),5
Goku (Super),5
Goku (GT),5
Gohan (Future),5
Future Trunks,5
Frieza (Z),5
Cell,5
Caulifla,5
Cabba,5
Broly (Z),5
Broly (Super),5
Bojack,5
Bergamo,5
Baby Vegeta (GT),5
Android 18,5
Android 17 (Z),5
Android 16,5
Android 13,5
Vegeta (Z – Scouter),4
Uub (GT),4
Turles,4
Trunks (Sword),4
Trunks (Kid),4
Tien,4
Tapion,4
Super Garlic Jr.,4
Piccolo,4
Nail,4
Lord Slug,4
King Cold,4
Great Saiyaman,4
Goten,4
Goku (Z – Early),4
Gohan (Teen),4
Gohan (Adult),4
Dr. Wheelo,4
Dr. Gero,4
Captain Ginyu,4
Bardock,4
Android 19,4
Zarbon,3
Yamcha,3
Super Zarbon,3
Recoome,3
Raditz,3
Pan (GT),3
Nappa,3
Krillin,3
Jeice,3
Goku (Teen),3
Gohan (Kid),3
Dodoria,3
Cui,3
Cell Jr.,3
Burter,3
Babidi,3
Yajirobe,2
Videl,2
Spopovich,2
Saibaman,2
Master Roshi,2
Guldo,2
Frieza Force Soldier,2
Chiaotzu,2
Mr. Satan,1
